date, pm25, pm10, o3, no2, so2, co
2018/07/09,69,42,10,12,1,-1
2018/07/10,78,28,8,10,-1,-1
2018/07/11,56,25,10,11,1,-1
2018/07/12,59,25,12,10,1,-1
2018/07/13,59,34,10,11,1,-1
2018/07/14,73,34,10,9,1,-1
2018/07/15,67,47,10,13,1,-1
2018/07/16,71,47,5,16,-1,-1
2018/07/17,74,35,11,14,1,-1
2018/07/18,55,32,9,13,1,-1
2018/07/19,55,39,6,9,3,-1
2018/07/20,62,45,8,11,-1,-1
2018/07/21,70,38,9,11,-1,-1
2018/07/22,67,43,9,11,-1,-1
2018/07/23,71,44,8,10,1,-1
2018/07/24,79,46,7,9,1,-1
2018/07/25,76,41,7,9,1,-1
2018/07/26,69,42,8,7,1,-1
2018/07/27,72,34,8,6,-1,-1
2018/07/28,63,35,6,7,-1,-1
2018/07/29,68,36,4,8,1,-1
2018/07/30,67,39,8,10,1,-1
2018/07/31,70,35,11,10,1,-1
2018/08/01,69,37,10,10,1,-1
2018/08/02,68,35,12,9,1,-1
2018/08/03,66,32,11,9,1,-1
2018/08/04,57,30,11,8,-1,-1
2018/08/05,57,29,7,10,-1,-1
2018/08/06,62,41,6,11,1,-1
2018/08/07,70,44,9,11,3,-1
2018/08/08,77,40,9,10,1,-1
2018/08/09,67,31,14,10,1,-1
2018/08/10,64,25,8,8,-1,-1
2018/08/11,52,22,10,6,-1,-1
2018/08/12,48,31,7,5,-1,-1
2018/08/13,59,31,9,6,-1,-1
2018/08/14,56,28,7,8,-1,-1
2018/08/15,54,30,8,8,-1,-1
2018/08/16,59,23,9,8,1,-1
2018/08/17,52,20,9,6,1,-1
2018/08/18,38,19,11,6,-1,-1
2018/08/19,39,28,8,6,-1,-1
2018/08/20,54,49,10,9,1,-1
2018/08/21,76,42,11,10,1,-1
2018/08/22,74,44,11,8,1,-1
2018/08/23,76,32,8,9,1,-1
2018/08/24,64,24,6,9,-1,-1
2018/08/25,56,23,5,6,-1,-1
2018/08/26,54,25,7,8,-1,-1
2018/08/27,54,35,10,9,1,-1
2018/08/28,68,41,9,8,1,-1
2018/08/29,77,24,8,7,1,-1
2018/08/30,50,27,8,8,-1,-1
2018/08/31,54,29,13,8,-1,-1
2018/09/01,63,32,11,7,-1,-1
2018/09/02,59,25,14,9,1,-1
2018/09/03,55,20,9,9,1,-1
2018/09/04,47,28,12,10,1,-1
2018/09/05,56,35,9,9,1,-1
2018/09/06,62,41,15,10,-1,-1
2018/09/07,75,41,10,11,-1,-1
2018/09/08,80,46,15,16,-1,-1
2018/09/09,98,49,23,16,-1,-1
2018/09/10,100,35,12,10,1,-1
2018/09/11,63,40,7,10,1,-1
2018/09/12,71,39,10,10,1,-1
2018/09/13,68,31,6,10,-1,-1
2018/09/14,62,29,22,10,-1,-1
2018/09/15,57,30,19,13,-1,-1
2018/09/16,59,30,13,11,1,-1
2018/09/17,57,21,15,8,-1,-1
2018/09/18,49,27,5,11,1,-1
2018/09/19,59,43,21,15,1,-1
2018/09/20,80,53,17,18,1,-1
2018/09/21,89,39,20,14,1,-1
2018/09/22,82,31,13,14,1,-1
2018/09/23,73,41,3,14,1,-1
2018/09/24,76,39,15,13,1,-1
2018/09/25,69,27,16,10,1,-1
2018/09/26,57,27,12,12,1,-1
2018/09/27,50,37,16,17,1,-1
2018/09/28,66,45,22,16,1,-1
2018/09/29,89,24,21,12,-1,-1
2018/09/30,57,27,14,13,1,-1
2018/10/01,61,41,7,17,1,-1
2018/10/02,76,60,23,20,1,-1
2018/10/03,113,58,29,15,-1,-1
2018/10/04,110,27,17,11,1,-1
2018/10/05,62,35,15,14,1,-1
2018/10/06,75,38,18,14,1,-1
2018/10/07,83,45,14,18,1,-1
2018/10/08,94,40,15,18,1,-1
2018/10/09,87,50,17,18,1,-1
2018/10/10,101,50,19,16,1,-1
2018/10/11,93,36,19,11,-1,-1
2018/10/12,69,46,16,18,1,-1
2018/10/13,101,41,23,15,1,-1
2018/10/14,90,32,16,13,1,-1
2018/10/15,73,29,10,11,1,-1
2018/10/16,62,33,11,13,1,-1
2018/10/17,70,40,12,20,1,-1
2018/10/18,78,53,20,25,1,-1
2018/10/19,97,45,5,18,-1,-1
2018/10/20,82,20,5,11,-1,-1
2018/10/21,47,31,10,14,1,-1
2018/10/22,61,33,10,15,-1,-1
2018/10/23,71,39,12,17,1,-1
2018/10/24,79,54,10,20,1,-1
2018/10/25,101,45,14,17,1,-1
2018/10/26,81,43,14,16,1,-1
2018/10/27,86,34,17,12,1,-1
2018/10/28,67,48,21,16,1,-1
2018/10/29,88,48,22,12,-1,-1
2018/10/30,87,57,27,11,-1,-1
2018/10/31,93,61,29,18,1,-1
2018/11/01,111,72,27,28,1,-1
2018/11/02,128,77,29,25,2,-1
2018/11/03,138,73,32,20,1,-1
2018/11/04,139,73,30,22,1,-1
2018/11/05,137,66,21,20,1,-1
2018/11/06,121,56,15,18,1,-1
2018/11/07,95,41,10,11,1,-1
2018/11/08,73,37,4,12,1,-1
2018/11/09,74,42,8,12,1,-1
2018/11/10,81,40,14,14,1,-1
2018/11/11,81,61,20,24,1,-1
2018/11/12,116,72,14,26,2,-1
2018/11/13,140,67,15,23,1,-1
2018/11/14,126,68,20,22,2,-1
