date, pm25
11/10/2019,0.416107383
12/10/2019,0.362416107
13/10/2019,0.302013423
14/10/2019,0.208053691
15/10/2019,0.261744966
16/10/2019,0.261744966
17/10/2019,0.275167785
18/10/2019,0.275167785
19/10/2019,0.32885906
20/10/2019,0.322147651
21/10/2019,0.389261745
22/10/2019,0.765100671
23/10/2019,0.402684564
24/10/2019,0.308724832
25/10/2019,0.33557047
26/10/2019,0.375838926
27/10/2019,0.228187919
28/10/2019,0.261744966
29/10/2019,0.302013423
30/10/2019,0.295302013
31/10/2019,0.348993289
1/11/2019,0.187919463
2/11/2019,0.275167785
3/11/2019,0.342281879
4/11/2019,0.315436242
5/11/2019,0.510067114
6/11/2019,0.590604027
7/11/2019,0.624161074
8/11/2019,0.577181208
9/11/2019,0.657718121
10/11/2019,0.630872483
11/11/2019,0.651006711
12/11/2019,0.691275168
13/11/2019,0.530201342
14/11/2019,0.315436242
15/11/2019,0.362416107
16/11/2019,0.503355705
17/11/2019,0.530201342
18/11/2019,0.436241611
19/11/2019,0.362416107
20/11/2019,0.295302013
21/11/2019,0.342281879
22/11/2019,0.355704698
23/11/2019,0.489932886
24/11/2019,0.436241611
25/11/2019,0.516778523
26/11/2019,0.375838926
27/11/2019,0.355704698
28/11/2019,0.255033557
29/11/2019,0.268456376
30/11/2019,0.261744966
